week,trimester,baby_development,nutrition_tip,exercise_tip
4,1,embryo implanted neural tube forming,start folic acid 400mcg daily avoid alcohol,gentle walking only avoid strenuous activity
5,1,heart begins to beat embryo size of apple seed,continue folic acid increase vitamin B6 for nausea,light walking rest when tired
6,1,facial features forming brain developing,eat small frequent meals for nausea ginger tea helps,gentle walks rest as needed fatigue is normal
7,1,limb buds appearing kidneys forming,stay hydrated eat iron-rich foods leafy greens,light activity as tolerated morning sickness may limit exercise
8,1,fingers and toes forming all major organs present,folate iron calcium are crucial prenatal vitamins important,gentle yoga or walking rest often
9,1,baby size of a grape facial features more defined,eat protein with each meal helps stabilize blood sugar,light walks swimming if tolerated
10,1,baby size of a strawberry reproductive organs forming,increase omega-3 intake oily fish walnuts,gentle exercise 20-30 minutes most days
11,1,baby size of a fig fingers and toes separated,continue iron-rich foods risk of anemia increases,gentle yoga walking swimming
12,1,baby size of a lime reflexes developing,maintain balanced diet nausea often improves this week,can increase activity as energy returns
13,1,end of first trimester baby size of a lemon,celebrate end of highest risk period continue prenatal vitamins,activity generally increases as nausea reduces
14,2,baby can make facial expressions size of a peach,increase calorie intake by 300 calories per day,walking swimming prenatal yoga all recommended
15,2,baby forming taste buds size of an apple,eat calcium-rich foods dairy broccoli almonds for bone development,30 minutes moderate exercise most days
16,2,baby making sucking movements size of an avocado,iron intake important red meat beans spinach prevent anemia,swimming excellent as belly grows low impact
17,2,baby developing fat stores size of a pear,vitamin D important for calcium absorption dairy fortified foods,prenatal yoga and walking excellent
18,2,baby can hear sounds size of a bell pepper,increase protein for fetal growth meat eggs legumes,walking swimming and prenatal yoga recommended
19,2,baby covered in vernix size of a mango,omega-3 DHA critical for brain development oily fish walnuts,continue regular moderate exercise
20,2,halfway point baby size of a banana,calcium needs increase 1000mg daily for skeleton development,water aerobics excellent for growing belly
21,2,baby has eyebrows size of a carrot,iron-rich foods essential anemia risk increases in second trimester,swimming walking light strength training
22,2,baby developing sleep cycles size of a papaya,zinc and magnesium important for healthy development wholegrains nuts,prenatal yoga excellent for back pain and flexibility
23,2,baby fingerprints forming size of a large mango,continue DHA and iron rich diet,moderate walking swimming continue
24,2,viability milestone baby size of an ear of corn,increase fiber intake to prevent constipation whole grains vegetables,pelvic floor exercises daily swimming walking
25,2,baby growing fat rapidly size of a rutabaga,protein needs highest now 70-100g daily meat dairy legumes,continue moderate exercise adjust intensity as needed
26,2,baby opening eyes size of a scallion,calcium and vitamin D for bone development continue prenatal vitamins,water aerobics walking prenatal yoga
27,3,end of second trimester baby size of a cauliflower,omega-3 for brain development in third trimester,continue appropriate exercise intensity may need to reduce
28,3,baby can dream REM sleep developing,iron and vitamin C together enhance absorption,pelvic floor exercises swimming walking
29,3,baby head may be engaging size of a butternut squash,small frequent meals as stomach compressed by uterus,gentle walking swimming pelvic tilts for back pain
30,3,baby storing iron and calcium,avoid large meals heartburn common eat small portions,walking swimming prenatal yoga for labor preparation
31,3,baby putting on weight rapidly,increase calcium 1200mg daily for final bone development,gentle activity focus on pelvic floor and breathing
32,3,baby practicing breathing movements,eat iron-rich foods to prepare for blood loss in labor,walking and swimming remain excellent avoid lying flat
33,3,baby skeleton hardening except skull,vitamin K important in late pregnancy leafy greens,gentle exercise walking pelvic floor exercises
34,3,baby immune system strengthening,continue DHA omega-3 for final brain development,walking pelvic tilts cat-cow stretches for back comfort
35,3,baby head down in most cases,eat small meals frequently to manage compression,gentle walks breathing exercises prepare for labor
36,3,baby considered late preterm almost full term,maintain nutrition prepare hospital bag,gentle walking pelvic floor exercises labor preparation breathing
37,3,baby full term lungs mature,continue balanced nutrition hydration important,gentle walks pelvic floor exercises rest as needed
38,3,baby ready for birth,eat iron-rich foods maintain hydration,light walking pelvic floor exercises rest when needed
39,3,baby gaining weight slowing,maintain balanced diet,gentle walks rest as needed body preparing for labor
40,3,full term expected due date week,stay hydrated eat iron-rich foods,gentle walks rest body preparing for labor birth
